split,k,N,p_bias,repetitions,mc_mean,mc_sd,mc_se,ci_low,ci_high,seed
development,35,30,0.6,7000,1309.727,371.27896969612993,4.437632466250118,1301.0294001895243,1318.424599810476,10096513
development,35,30,0.8,7000,2233.2231428571426,715.7832073081827,8.55524567455871,2216.4551694561155,2249.9911162581698,10096713
development,35,30,0.925,7000,2859.165285714286,967.9607976027398,11.569344380089332,2836.48978740457,2881.8407840240016,10096838
development,35,30,1.075,7000,2913.024142857143,967.4040951804421,11.562690513469171,2890.3616858863606,2935.6865998279254,10096988
development,35,30,1.2,7000,2811.303,918.2965158245048,10.975742675655418,2789.790939652136,2832.815060347864,10097113
development,35,30,1.4,7000,2649.3417142857143,827.5495067457159,9.891108461030454,2629.955497934915,2668.7279306365135,10097313
development,35,30,1.6,7000,2512.0235714285714,752.4041316329194,8.992949439090662,2494.397714413164,2529.6494284439786,10097513
development,35,30,1.8,7000,2418.0344285714286,696.0974685845247,8.319956093374731,2401.7276142754595,2434.341242867398,10097713
development,35,60,0.4,7000,1751.1481428571428,285.53835457349925,3.412836104485145,1744.459107007214,1757.8371787070716,10096823
development,35,60,0.6,7000,2621.3432857142857,533.170273341427,6.372603643443123,2608.8532120853883,2633.833359343183,10097023
development,35,60,0.8,7000,5235.446,1479.478516923641,17.683150503227548,5200.787661880473,5270.104338119527,10097223
development,35,60,0.925,7000,10162.800428571429,3262.885157992911,38.998936898057,10086.363916815886,10239.236940326971,10097348
development,35,60,1.075,7000,11454.412571428571,3762.9837021558988,44.976257772757826,11366.260726034576,11542.564416822566,10097498
development,35,60,1.2,7000,10641.116142857143,3295.715085867516,39.391329588438126,10563.910555560657,10718.32173015363,10097623
development,35,60,1.4,7000,9604.986,2746.4809797890293,32.82672642036604,9540.646798485734,9669.325201514268,10097823
development,35,60,1.6,7000,8873.490714285714,2292.1167221109404,27.396034822007678,8819.795472715374,8927.185955856054,10098023
development,35,60,1.8,7000,8191.854857142857,2024.9545275096687,24.20283583880765,8144.418170575059,8239.291543710655,10098223
development,45,15,0.4,7000,533.166,158.81674159024985,1.8982231318993408,529.4455510268565,536.8864489731436,10106148
development,45,15,0.6,7000,690.5051428571428,216.0747913274159,2.582587723504866,685.4433639321579,695.5669217821277,10106348
development,45,15,0.8,7000,835.1787142857142,270.3536827782188,3.2313445629544226,828.8453953206842,841.5120332507443,10106548
development,45,15,0.925,7000,867.0388571428572,282.7433074132144,3.3794289011810315,860.4152982082286,873.6624160774858,10106673
development,45,15,1.075,7000,872.6075714285714,280.22479979400566,3.3493269775879826,866.0430111800506,879.1721316770922,10106823
development,45,15,1.2,7000,860.9695714285714,273.83911866579774,3.273003489842774,854.5546024672057,867.3845403899371,10106948
development,45,15,1.4,7000,838.3025714285715,265.94547887851274,3.178656448787341,832.0725192697223,844.5326235874206,10107148
development,45,15,1.6,7000,818.3851428571429,254.08733257552905,3.0369244916373512,812.432880229766,824.3374054845198,10107348
development,45,15,1.8,7000,806.9384285714285,244.40350638607225,2.921180630542747,801.2130197432288,812.6638373996283,10107548
development,45,30,0.4,7000,1122.7075714285713,261.6552289498397,3.1273781542278924,1116.5780228802473,1128.8371199768953,10106403
development,45,30,0.6,7000,1669.9284285714286,461.37684438385816,5.514508040920097,1659.1201914187686,1680.7366657240887,10106603
development,45,30,0.8,7000,2771.0064285714284,854.1210945891302,10.20869968088936,2750.9977448678997,2791.015112274957,10106803
development,45,30,0.925,7000,3436.779285714286,1105.6568847227143,13.215127407281276,3410.8781119449063,3462.6804594836653,10106928
development,45,30,1.075,7000,3462.466,1079.2703395200301,12.899747870003845,3437.182958765145,3487.7490412348548,10107078
development,45,30,1.2,7000,3399.244142857143,1056.6782942502548,12.629721281505711,3374.4903440106127,3423.997941703673,10107203
development,45,30,1.4,7000,3261.187142857143,982.513070852877,11.743277313283487,3238.170742262641,3284.203543451645,10107403
development,45,30,1.6,7000,3117.0337142857143,904.2985412458123,10.80843487876353,3095.8495711940914,3138.217857377337,10107603
development,45,30,1.8,7000,3010.121142857143,855.3500731127937,10.223388783806762,2990.083669040931,3030.1586166733546,10107803
development,45,60,0.4,7000,2251.4125714285715,371.57962998050266,4.441226043985847,2242.7079283351577,2260.1172145219853,10106913
development,45,60,0.6,7000,3374.982285714286,693.0204409616769,8.283178578909332,3358.74755402211,3391.2170174064618,10107113
development,45,60,0.8,7000,6643.1441428571425,1850.3784256925132,22.11625232482827,6599.797084827479,6686.491200886806,10107313
development,45,60,0.925,7000,12452.472571428572,3889.380799446778,46.486992040946646,12361.359741278717,12543.585401578428,10107438
